ID,date,yield,conductivity,bacteria,gram,type,rum_index_seconds,water_intake_liter,Event
4889,2024-01-23,49.0,8.4,CON,P,C,19632.791666666668,18.1,[]
5110,2024-01-23,52.6,8.9,MBG,P,C,23174.75,23.799999999999997,['OPEN']
5211,2024-01-23,51.2,9.7,CON,P,C,22084.75,39.42,[]
5288,2024-01-23,58.4,8.5,CON,P,C,30571.083333333332,0.0,[]
5449,2024-01-24,45.7,,CON,P,C,28614.416666666668,0.0,[]
5607,2024-01-24,13.0,,MBG,P,C,29202.291666666668,0.0,[]
6190,2024-01-23,43.3,10.2,MBG,P,C,25784.5,26.43,[]
6422,2024-01-23,27.2,11.9,MBG,P,C,27573.125,13.24,[]
6954,2024-01-23,53.6,9.0,MBG,P,C,31712.833333333332,45.82,[]
6965,2024-01-23,45.7,8.7,MBG,P,C,31278.583333333332,48.8,[]
7038,2024-01-23,18.9,9.0,SC,P,E,27870.375,18.52,[]
7056,2024-01-23,,,SD,P,E,26726.708333333332,0.0,[]
7146,2024-01-23,56.5,8.6,CON,P,C,36317.5,40.54,[]
7168,2024-01-23,41.7,9.4,MBG,P,C,26275.291666666668,17.98,[]
7285,2024-01-23,25.2,,CON,P,C,29840.375,0.0,[]
7289,2024-01-24,14.3,,MBG,P,C,27900.791666666668,18.62,[]
8068,2024-01-23,21.4,8.6,CON,P,C,32574.5,27.46,[]
8468,2024-01-23,19.8,8.5,CON,P,C,26442.875,12.12,[]
9119,2024-01-23,20.4,9.6,SC,P,E,28806.458333333332,18.14,[]
9181,2024-01-23,46.1,9.6,SD,P,E,30067.083333333332,0.0,[]
9565,2024-01-23,,,Coryne,P,E,27422.208333333332,22.79,[]
9575,2024-01-23,36.2,8.1,MBG,P,C,20686.458333333332,0.0,[]
50068,2024-01-23,32.6,9.3,CON,P,C,28718.375,38.83,[]
50130,2024-01-23,33.6,8.0,MBG,P,C,25321.0,47.61,[]
50142,2024-01-23,12.2,8.8,MBG,P,C,25711.208333333332,16.96,[]
2400,2024-01-24,24.0,8.9,CON,P,C,32808.125,41.519999999999996,[]
3990,2024-01-24,31.5,9.4,MBG,P,C,28568.0,0.0,[]
4192,2024-01-25,15.2,,CON,P,C,24830.791666666668,21.83,[]
4232,2024-01-24,56.2,9.2,SA,P,C,29274.625,17.59,[]
4384,2024-01-24,57.1,9.7,MBG,P,C,28178.625,13.65,[]
4468,2024-01-24,,,CON,P,C,30630.791666666668,6.9,[]
4737,2024-01-24,25.5,9.0,CON,P,C,31810.791666666668,25.12,[]
4889,2024-01-24,48.6,8.4,CON,P,C,22965.541666666668,21.91,[]
5110,2024-01-24,54.8,8.9,MBG,P,C,30616.333333333332,28.830000000000002,[]
5211,2024-01-24,42.5,9.7,CON,P,C,26214.416666666668,15.58,[]
5288,2024-01-24,60.5,8.5,CON,P,C,33946.125,18.72,[]
5449,2024-01-25,42.6,,CON,P,C,32208.541666666668,0.0,[]
5607,2024-01-25,37.2,9.0,MBG,P,C,30984.458333333332,18.37,[]
6190,2024-01-24,40.9,10.1,MBG,P,C,29142.625,21.24,[]
6422,2024-01-24,30.6,11.7,MBG,P,C,27706.458333333332,13.35,[]
6954,2024-01-24,55.0,9.0,MBG,P,C,32992.333333333336,0.0,[]
6965,2024-01-24,42.2,8.7,MBG,P,C,30643.583333333332,0.0,[]
7038,2024-01-24,48.8,8.9,SC,P,E,30143.166666666668,46.51,[]
7056,2024-01-24,41.8,9.3,SD,P,E,29244.5,0.0,[]
7146,2024-01-24,57.7,8.5,CON,P,C,36654.791666666664,17.92,[]
7168,2024-01-24,46.9,9.4,MBG,P,C,31444.5,20.06,[]
7285,2024-01-24,17.5,,CON,P,C,29069.666666666668,21.02,[]
7289,2024-01-25,31.7,,MBG,P,C,30161.708333333332,24.04,[]
8068,2024-01-24,51.8,8.5,CON,P,C,31903.0,36.11,[]
8468,2024-01-24,39.2,8.5,CON,P,C,19685.875,44.05,['BRED']
9119,2024-01-24,43.7,9.6,SC,P,E,30805.708333333332,42.86,[]
9181,2024-01-24,24.6,9.5,SD,P,E,29419.333333333332,29.28,[]
9565,2024-01-24,46.8,,Coryne,P,E,29656.166666666668,0.0,[]
9575,2024-01-24,37.0,8.0,MBG,P,C,28302.833333333332,0.0,[]
50068,2024-01-24,66.7,9.4,CON,P,C,31939.041666666668,10.93,[]
50130,2024-01-24,33.5,8.0,MBG,P,C,25985.75,17.35,[]
50142,2024-01-24,31.6,8.8,MBG,P,C,26394.333333333332,15.64,[]
2400,2024-01-25,34.3,9.0,CON,P,C,29524.208333333332,16.5,[]
3990,2024-01-25,65.8,9.4,MBG,P,C,27600.083333333332,0.0,[]
4192,2024-01-26,30.7,10.3,CON,P,C,31149.0,39.69,['LAB']
4232,2024-01-25,65.7,9.3,SA,P,C,28354.708333333332,0.0,[]
4384,2024-01-25,34.8,9.7,MBG,P,C,28100.833333333332,39.739999999999995,[]
4468,2024-01-25,,,CON,P,C,32998.625,0.0,[]
4737,2024-01-25,31.1,9.0,CON,P,C,30323.791666666668,0.0,[]
4889,2024-01-25,48.3,8.5,CON,P,C,28147.75,21.75,[]
5110,2024-01-25,28.3,9.0,MBG,P,C,27294.5,23.28,[]
5211,2024-01-25,55.8,9.7,CON,P,C,27862.916666666668,0.0,[]
5288,2024-01-25,,8.5,CON,P,C,30992.291666666668,0.0,[]
5449,2024-01-26,50.9,9.7,CON,P,C,30088.083333333332,0.0,[]
5607,2024-01-26,42.7,9.7,MBG,P,C,22516.666666666668,39.339999999999996,[]
6190,2024-01-25,22.4,9.9,MBG,P,C,29369.291666666668,39.56,[]
6422,2024-01-25,37.3,11.8,MBG,P,C,28014.5,21.06,[]
6954,2024-01-25,30.2,9.0,MBG,P,C,34267.208333333336,0.0,[]
6965,2024-01-25,48.1,8.8,MBG,P,C,30525.375,0.0,[]
7038,2024-01-25,51.5,8.9,SC,P,E,29504.625,42.72,[]
7056,2024-01-25,21.3,9.3,SD,P,E,30879.625,33.54,[]
7146,2024-01-25,29.3,8.4,CON,P,C,35907.5,17.88,[]
7168,2024-01-25,52.8,9.2,MBG,P,C,32035.375,0.0,[]
7285,2024-01-25,38.4,8.5,CON,P,C,28758.583333333332,0.0,[]
7289,2024-01-26,38.2,9.8,MBG,P,C,28750.5,0.0,[]
8068,2024-01-25,54.5,8.5,CON,P,C,32177.458333333332,31.75,[]
8468,2024-01-25,51.0,8.6,CON,P,C,29732.666666666668,42.83,[]
9119,2024-01-25,51.7,9.6,SC,P,E,30176.666666666668,23.75,[]
9181,2024-01-25,30.4,9.6,SD,P,E,29156.125,29.68,[]
9565,2024-01-25,51.7,,Coryne,P,E,29850.791666666668,16.22,[]
9575,2024-01-25,41.7,8.1,MBG,P,C,27175.541666666668,0.0,[]
50068,2024-01-25,72.3,9.4,CON,P,C,32959.708333333336,15.98,[]
50130,2024-01-25,38.1,8.0,MBG,P,C,26575.75,0.0,[]
50142,2024-01-25,35.9,8.8,MBG,P,C,25758.416666666668,19.56,[]
2400,2024-01-26,63.9,9.0,CON,P,C,30950.833333333332,0.0,[]
3990,2024-01-26,69.1,9.5,MBG,P,C,25107.708333333332,20.25,[]
4192,2024-01-27,18.2,10.2,CON,P,C,33938.208333333336,37.09,[]
4232,2024-01-26,63.9,9.3,SA,P,C,26416.666666666668,62.88,[]
4384,2024-01-26,,9.8,MBG,P,C,32444.291666666668,19.52,[]
4468,2024-01-26,,,CON,P,C,32689.25,20.92,[]
4737,2024-01-26,24.6,9.0,CON,P,C,30325.916666666668,32.89,[]
4889,2024-01-26,93.1,8.5,CON,P,C,29690.5,0.0,[]
5110,2024-01-26,26.9,9.0,MBG,P,C,27136.416666666668,13.55,[]
